6MonthGoldChange,CPIChange,NextMonthGoldChange
2.34007692,0.227531286,-5.21920679
0.204834721,0.397275823,-1.578556569
132.1689266,0.4522329,2.834765323
0.944233333,0.16882386,0
72.78661396,-0.280898876,0
-1.046600418,0,-2.316604471
-54.20444093,0.450704225,-2.191870738
0.406817487,-0.336511497,4.114614808
89.29556556,-0.16882386,5.751594335
0.359088143,-0.394588501,-3.203205077
95.65829023,0.226372383,3.584968557
1.958324579,0.395256917,3.693845591
283.7115499,0.562429696,3.08087478
2.151346364,0.559284116,0
119.2747309,0,0
1.726614821,0.055617353,0
112.9120062,0.111172874,0
0.284955494,0.333148251,-1.371141814
-22.85236357,0.166021029,0
-0.228523636,0.165745856,0
73.55839104,0,5.784645277
-0.035937759,-0.220628792,-4.629130016
-107.6717433,0.442233278,-6.244678044
-0.621127486,0.770500826,1.36239787
107.1425343,0.60076461,10.15531697
0.357398385,-0.217155266,-4.284161745
-72.00233249,-0.163220892,-0.679884986
0.764561652,0.108991826,4.278379847
230.6800107,0.108873163,3.008752686
1.867306024,0.380641653,-1.274566629
105.784503,0.325027086,5.298551005
2.46152767,-0.107991361,4.1379341
314.7158064,-0.27027027,3.433897373
2.117914226,-0.108401084,-1.897083181
87.51766006,0.488334238,-4.447673064
2.133224524,0.539956803,6.273720909
-46.37454104,0.644468314,-10.2832686
-0.817325825,0.320170758,2.016451611
-37.96729165,0.585106383,6.059814824
-0.390450055,0.317292438,-1.961746012
35.0828789,-0.158144439,0
-0.694791363,0.05279831,0
127.4147865,0.211081794,1.530366766
1.950789963,0.526592944,6.076304201
94.08208259,0.052383447,0
1.267778494,-0.366492147,0
170.6375235,0.21019443,2.631580445
1.706375235,0.576822234,0
145.1314108,0.782064651,0
0.438596741,0.672529747,0
125.2476389,-0.102774923,4.883277891
0.612761253,0.051440329,-3.838290815
72.1322212,0.462724936,3.282946197
1.838023897,0.511770727,6.700210108
1.852311438,1.221995927,0.085725245
2.637464899,0.201207243,4.710920771
2.014451168,-0.803212851,1.145195501
4.308702138,-0.4048583,9.927215003
3.832048636,0.762195122,0.423025188
2.962598966,0.201714574,1.483512088
4.792143786,0.55359839,11.06299416
6.067979735,0.850850851,12.36593647
2.763110155,0.496277916,-18.68402198
3.793974699,0.197530864,16.11240226
3.22824348,0.295712173,-2.971362121
1.836555791,0.196560197,-6.866614049
-0.518575327,-0.490436488,-3.067792542
-1.282718024,-0.542138985,7.781080282
2.250385774,-0.148662042,2.514600811
-1.147152573,0.148883375,-4.272827817
0.61550152,0.297324083,7.604562436
1.752254295,0.543478261,-0.046097402
2.868124137,0.933660934,3.627426509
1.912422181,0.632911392,2.046868549
1.040317879,0.580551524,-2.718025
1.339089239,0.240500241,-2.480199656
0.55171905,-0.047984645,2.880341298
0.812566805,-0.192030725,1.518989129
1.579566181,0.288600289,8.229422768
2.772261333,0.191846523,9.203039456
3.134246842,0.622307324,-0.546111944
4.833024428,-0.095147479,7.712465859
4.793241917,0.523809524,2.641646233
6.216337994,0.284225486,10.05756559
3.950750644,0.850259802,-5.364101333
1.573371639,0.608899297,-5.061234572
